section,type,geo_level,country,state,year,quarter,period,source_path,category,count,amount,brand,registeredUsers,appOpens,brand_count,brand_percentage
aggregated,user,country,india,,2018,4,2018-Q4,data/aggregated/user/country/india/2018/4.json,,,,Vivo,,,14966905.0,0.14635834376690357
aggregated,user,country,india,,2018,4,2018-Q4,data/aggregated/user/country/india/2018/4.json,,,,Xiaomi,,,26709586.0,0.2611876516661043
aggregated,user,country,india,,2018,4,2018-Q4,data/aggregated/user/country/india/2018/4.json,,,,,102262055.0,0.0,,
aggregated,user,country,india,,2019,1,2019-Q1,data/aggregated/user/country/india/2019/1.json,,,,Apple,,,4005092.0,0.03244757695851729
aggregated,user,country,india,,2019,1,2019-Q1,data/aggregated/user/country/india/2019/1.json,,,,Huawei,,,2364933.0,0.019159696086690933
aggregated,user,country,india,,2019,1,2019-Q1,data/aggregated/user/country/india/2019/1.json,,,,Lenovo,,,2553783.0,0.02068967964477549
aggregated,user,country,india,,2019,1,2019-Q1,data/aggregated/user/country/india/2019/1.json,,,,Motorola,,,3531217.0,0.028608440296683458
aggregated,user,country,india,,2019,1,2019-Q1,data/aggregated/user/country/india/2019/1.json,,,,OnePlus,,,3042107.0,0.02464587604942512
aggregated,user,country,india,,2019,1,2019-Q1,data/aggregated/user/country/india/2019/1.json,,,,Oppo,,,13426696.0,0.10877746422769222
aggregated,user,country,india,,2019,1,2019-Q1,data/aggregated/user/country/india/2019/1.json,,,,Others,,,12535293.0,0.10155569068452437
aggregated,user,country,india,,2019,1,2019-Q1,data/aggregated/user/country/india/2019/1.json,,,,Realme,,,5948556.0,0.04819270783344047
aggregated,user,country,india,,2019,1,2019-Q1,data/aggregated/user/country/india/2019/1.json,,,,Samsung,,,25070398.0,0.20310985827183445
aggregated,user,country,india,,2019,1,2019-Q1,data/aggregated/user/country/india/2019/1.json,,,,Vivo,,,18778714.0,0.15213727117803685
aggregated,user,country,india,,2019,1,2019-Q1,data/aggregated/user/country/india/2019/1.json,,,,Xiaomi,,,32175910.0,0.26067573876837935
aggregated,user,country,india,,2019,1,2019-Q1,data/aggregated/user/country/india/2019/1.json,,,,,123432699.0,0.0,,
aggregated,user,country,india,,2019,2,2019-Q2,data/aggregated/user/country/india/2019/2.json,,,,Apple,,,4511382.0,0.031813260254733036
aggregated,user,country,india,,2019,2,2019-Q2,data/aggregated/user/country/india/2019/2.json,,,,Huawei,,,2738178.0,0.019309020902637905
aggregated,user,country,india,,2019,2,2019-Q2,data/aggregated/user/country/india/2019/2.json,,,,Lenovo,,,2826639.0,0.019932828156245322
aggregated,user,country,india,,2019,2,2019-Q2,data/aggregated/user/country/india/2019/2.json,,,,Motorola,,,3917097.0,0.02762249490378647
aggregated,user,country,india,,2019,2,2019-Q2,data/aggregated/user/country/india/2019/2.json,,,,OnePlus,,,3331797.0,0.02349508977003915
aggregated,user,country,india,,2019,2,2019-Q2,data/aggregated/user/country/india/2019/2.json,,,,Oppo,,,15797055.0,0.11139731061863788
aggregated,user,country,india,,2019,2,2019-Q2,data/aggregated/user/country/india/2019/2.json,,,,Others,,,13906209.0,0.09806348610552394
aggregated,user,country,india,,2019,2,2019-Q2,data/aggregated/user/country/india/2019/2.json,,,,Realme,,,6829373.0,0.04815921609512272
aggregated,user,country,india,,2019,2,2019-Q2,data/aggregated/user/country/india/2019/2.json,,,,Samsung,,,28857066.0,0.20349359704986367
aggregated,user,country,india,,2019,2,2019-Q2,data/aggregated/user/country/india/2019/2.json,,,,Vivo,,,22157338.0,0.15624860859623194
aggregated,user,country,india,,2019,2,2019-Q2,data/aggregated/user/country/india/2019/2.json,,,,Xiaomi,,,36936092.0,0.26046508754717795
aggregated,user,country,india,,2019,2,2019-Q2,data/aggregated/user/country/india/2019/2.json,,,,,141808226.0,920413791.0,,
aggregated,user,country,india,,2019,3,2019-Q3,data/aggregated/user/country/india/2019/3.json,,,,Apple,,,4969855.0,0.03119927341363796
aggregated,user,country,india,,2019,3,2019-Q3,data/aggregated/user/country/india/2019/3.json,,,,Huawei,,,3116564.0,0.019564863028619785
aggregated,user,country,india,,2019,3,2019-Q3,data/aggregated/user/country/india/2019/3.json,,,,Lenovo,,,2892338.0,0.018157238806092893
aggregated,user,country,india,,2019,3,2019-Q3,data/aggregated/user/country/india/2019/3.json,,,,Motorola,,,4193041.0,0.026322665871256593
